review,rating,date,bank,source,sentiment_label,sentiment_score
user-friendly apps.because this app is easy.,5,2025-05-22,CBE,Google Play,positive,0.4404
Awosome!!!,5,2025-05-22,CBE,Google Play,neutral,0.0
"Very good app,",5,2025-05-22,CBE,Google Play,positive,0.4927
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,CBE,Google Play,positive,0.4854
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,CBE,Google Play,positive,0.4754
I hate this app 😒,1,2025-05-22,CBE,Google Play,negative,-0.5719
trustful,5,2025-05-22,CBE,Google Play,positive,0.4767
I like,5,2025-05-22,CBE,Google Play,positive,0.3612
update issue,4,2025-05-22,CBE,Google Play,neutral,0.0
its not working over safari network,1,2025-05-22,CBE,Google Play,neutral,0.0
oldie,1,2025-05-22,CBE,Google Play,neutral,0.0
it doesn't work,1,2025-05-21,CBE,Google Play,neutral,0.0
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play,positive,0.6124
very nice 👌 app for android phone,5,2025-05-21,CBE,Google Play,positive,0.8679
Yes Yes,5,2025-05-21,CBE,Google Play,positive,0.6597
በጣም ከርፋፋ,1,2025-05-21,CBE,Google Play,neutral,0.0
easy to use helpful in my life,5,2025-05-21,CBE,Google Play,positive,0.6908
good 👍,4,2025-05-21,CBE,Google Play,positive,0.4404
the best mobile banking app,5,2025-05-21,CBE,Google Play,positive,0.6369
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,CBE,Google Play,positive,0.6801
it's a good application 👍,5,2025-05-21,CBE,Google Play,positive,0.4404
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,CBE,Google Play,negative,-0.5836
poor service,1,2025-05-21,CBE,Google Play,negative,-0.4767
amazing,5,2025-05-20,CBE,Google Play,positive,0.5859
it is reliable and easy to use.,5,2025-05-20,CBE,Google Play,positive,0.4404
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play,negative,-0.4576
Eliasmels,5,2025-05-20,CBE,Google Play,neutral,0.0
Cbe mobile banking,5,2025-05-20,CBE,Google Play,neutral,0.0
"i can't make Screenshout in this app, please made modification",5,2025-05-20,CBE,Google Play,positive,0.3182
Best app I loved it,5,2025-05-19,CBE,Google Play,positive,0.8442
nice app,5,2025-05-19,CBE,Google Play,positive,0.4215
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,CBE,Google Play,positive,0.6239
well satisfied with this beautiful app,5,2025-05-18,CBE,Google Play,positive,0.8316
very good,4,2025-05-17,CBE,Google Play,positive,0.4927
best app.,5,2025-05-17,CBE,Google Play,positive,0.6369
"not working,why???",5,2025-05-17,CBE,Google Play,neutral,0.0
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE,Google Play,positive,0.3716
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play,negative,-0.6209
woxe harimo ribiso,5,2025-05-17,CBE,Google Play,neutral,0.0
"Good ,easy to use",5,2025-05-16,CBE,Google Play,positive,0.7003
Good app,5,2025-05-15,CBE,Google Play,positive,0.4404
Good job👍,5,2025-05-14,CBE,Google Play,positive,0.4404
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE,Google Play,positive,0.7579
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,CBE,Google Play,positive,0.8728
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play,negative,-0.7101
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,CBE,Google Play,positive,0.5859
fast and simple easy to use 👌,5,2025-05-12,CBE,Google Play,positive,0.8415
The fastest transferring app I ever had its so reliable,5,2025-05-11,CBE,Google Play,neutral,0.0
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE,Google Play,neutral,0.0
it's easy and fast,5,2025-05-10,CBE,Google Play,positive,0.4404
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play,negative,-0.5267
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,Google Play,positive,0.9524
wow best application ever,5,2025-05-09,CBE,Google Play,positive,0.8402
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play,negative,-0.4871
the pride of Ethiopian bank 🏦,5,2025-05-08,CBE,Google Play,positive,0.34
