review,rating,date,bank,source
It was good at first but now the system is very bad.please try to fix it.,1,2025-01-14 06:38:48,Dashen,Google Play
Generic error how tofix,4,2025-01-06 06:54:10,Dashen,Google Play
Fast and suitable to learn.,5,2025-01-04 08:14:27,Dashen,Google Play
"The app is extremely slow, often stuck on the logo. Security is poor, requiring only username/password. This allows unauthorized transactions. A large company like yours needs stronger security, such as two-factor authentication. The app's speed lags significantly compared to others. Numerous updates are needed to improve performance and security. Currently, it's a frustrating and time-wasting experience.",1,2025-01-03 09:03:24,Dashen,Google Play
Sometimes it's soo slow,3,2025-01-01 15:28:23,Dashen,Google Play
the best app I used always,1,2024-12-31 15:33:38,Dashen,Google Play
Amole apk is ..... it's very good apk . please used amole Apk,5,2024-12-29 13:42:48,Dashen,Google Play
fast and secure app,5,2024-12-23 09:58:20,Dashen,Google Play
Ok,4,2024-12-18 15:54:28,Dashen,Google Play
I am new for this App let me to use and i will rate 5 star while i get Satisfie,3,2024-12-17 16:29:10,Dashen,Google Play
Yeb,5,2024-12-12 15:27:48,Dashen,Google Play
Good Ait service!,5,2024-12-09 15:42:42,Dashen,Google Play
Sisay mustefa abani,5,2024-12-09 00:07:10,Dashen,Google Play
Wow,5,2024-12-06 09:43:40,Dashen,Google Play
"It can't load, even in a fast network connection. This app is so bad that it needs fixing",1,2024-12-05 08:41:40,Dashen,Google Play
The best mobile banking in Ethiopia 👍👍,5,2024-12-03 09:21:07,Dashen,Google Play
Thnk you,5,2024-12-02 19:18:12,Dashen,Google Play
Nice,5,2024-11-30 22:10:21,Dashen,Google Play
I like this app b/c it has many options and easily useable,5,2024-11-29 00:34:11,Dashen,Google Play
Its nice but it does not have speed it requires a lot of patience it will not be for a problem,3,2024-11-28 22:03:51,Dashen,Google Play
It is better if he blinks (ከንግድ ባንክ666).,5,2024-11-28 19:40:13,Dashen,Google Play
Naysssss,5,2024-11-27 15:24:11,Dashen,Google Play
best,5,2024-11-27 13:26:38,Dashen,Google Play
It's good,3,2024-11-21 12:41:52,Dashen,Google Play
Big love,5,2024-11-20 12:41:35,Dashen,Google Play
Excellent,5,2024-11-16 16:50:15,Dashen,Google Play
Please decrease app size,4,2024-11-09 11:24:04,Dashen,Google Play
Nice app,5,2024-11-08 18:39:44,Dashen,Google Play
It's great,5,2024-11-08 15:36:23,Dashen,Google Play
Alem Zeleqe,3,2024-11-08 14:56:52,Dashen,Google Play
❤️,5,2024-11-08 13:09:33,Dashen,Google Play
Best,5,2024-11-06 22:10:09,Dashen,Google Play
Nice,1,2024-10-30 16:51:35,Dashen,Google Play
Great Financial App,5,2024-10-28 07:21:19,Dashen,Google Play
Deshan bank,5,2024-10-27 21:28:05,Dashen,Google Play
"Still in love with it but while the app start to open, it takes time pls upgrade & fix the bug.",5,2024-10-22 17:42:57,Dashen,Google Play
It's such an amazing app. Truly Dashen bank is always one step ahead of other banks in 🇪🇹 👍,5,2024-10-16 10:52:09,Dashen,Google Play
Good,5,2024-10-02 13:38:44,Dashen,Google Play
Best App for all users.,5,2024-10-02 10:21:28,Dashen,Google Play
I ilke very much,5,2024-09-25 12:15:27,Dashen,Google Play
"The app suffers from severe performance issues, particularly with response times. The backend seems to have high latency, as the OTP generation and delivery process consistently delays, even after the server acknowledges that it has been sent. API requests frequently fail, returning non-descriptive error messages that lack proper exception handling, making it difficult for users to understand the issue. I know you will gonne say""ehe yedekem hzb teche alteche"", but that it.",1,2024-09-12 15:38:39,Dashen,Google Play
"The security, cool, every time OTP!! The UI, let's not talk about the UI, But how the heck it says ""offline mode is not available"" something like that, when I enter more than the max amount to transfer. Fellas i am a web dev, this is bad UX. It needs update on the UX. Will see the UI later.",3,2024-09-10 21:09:00,Dashen,Google Play
